ID_BVOTE,SCRUTIN,ANNEE,TOUR,DATE,NUM_CIRC,NUM_QUARTIER,NUM_ARROND,NUM_BUREAU,NB_PROCU,NB_INSCR,NB_EMARG,NB_VOTANT,NB_BLANC,NB_NUL,NB_EXPRIM,Mr RUPIN Pacôme    ,Mr VERON Aurélien,Mr WEIL Ariel
1-1,Municipales,2020,2,06/28/2020,1,1,1,1,31,1047,414,414,6,9,399,68,192,139
1-2,Municipales,2020,2,06/28/2020,1,2,1,2,33,1209,491,491,7,4,480,88,176,216
1-3,Municipales,2020,2,06/28/2020,1,2,1,3,38,1243,547,547,2,3,542,74,184,284
1-4,Municipales,2020,2,06/28/2020,1,2,1,4,34,1338,537,537,13,4,520,62,185,273
1-5,Municipales,2020,2,06/28/2020,1,2,1,5,18,1053,395,396,5,3,388,68,108,212
1-6,Municipales,2020,2,06/28/2020,1,2,1,6,37,1228,496,496,15,4,477,65,194,218
1-7,Municipales,2020,2,06/28/2020,1,3,1,7,38,1134,485,485,4,4,477,67,223,187
1-8,Municipales,2020,2,06/28/2020,1,3,1,8,15,964,380,379,7,5,367,56,188,123
1-9,Municipales,2020,2,06/28/2020,1,4,1,9,31,985,394,394,3,5,386,70,214,102
1-10,Municipales,2020,2,06/28/2020,1,4,1,10,34,897,322,322,1,2,319,44,174,101
