ID_BVOTE,SCRUTIN,ANNEE,TOUR,DATE,NUM_CIRC,NUM_QUARTIER,NUM_ARROND,NUM_BUREAU,NB_PROCU,NB_INSCR,NB_EMARG,NB_VOTANT,NB_BLANC,NB_NUL,NB_EXPRIM,Mr RUPIN Pacôme    ,Mr VERON Aurélien,Mr WEIL Ariel
2-1,Municipales,2020,2,06/28/2020,1,6,2,1,21,1185,435,435,10,1,424,73,185,166
2-2,Municipales,2020,2,06/28/2020,1,6,2,2,23,1036,407,407,7,1,399,60,166,173
2-3,Municipales,2020,2,06/28/2020,1,5,2,3,19,845,286,286,3,5,278,51,128,99
2-4,Municipales,2020,2,06/28/2020,1,7,2,4,31,1520,578,578,8,1,569,95,167,307
2-5,Municipales,2020,2,06/28/2020,1,7,2,5,23,1442,540,539,10,3,526,69,156,301
2-6,Municipales,2020,2,06/28/2020,1,7,2,6,51,1459,559,559,7,7,545,94,168,283
2-7,Municipales,2020,2,06/28/2020,1,8,2,7,30,1494,594,594,10,5,579,88,166,325
2-8,Municipales,2020,2,06/28/2020,1,8,2,8,53,1821,660,660,8,3,649,83,146,420
2-9,Municipales,2020,2,06/28/2020,1,8,2,9,32,1707,621,621,10,6,605,89,117,399
2-10,Municipales,2020,2,06/28/2020,1,8,2,10,22,1381,528,528,3,4,521,72,126,323
